Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-06-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,23,22
2019-06-01,"Robbery, Extortion and Related Offences",Canterbury,41,30
2019-06-01,"Robbery, Extortion and Related Offences",Central,5,5
2019-06-01,"Robbery, Extortion and Related Offences",Counties/Manukau,58,50
2019-06-01,"Robbery, Extortion and Related Offences",Eastern,21,18
2019-06-01,"Robbery, Extortion and Related Offences",Northland,11,11
2019-06-01,"Robbery, Extortion and Related Offences",Southern,5,4
2019-06-01,"Robbery, Extortion and Related Offences",Tasman,2,2
2019-06-01,"Robbery, Extortion and Related Offences",Waikato,23,23
2019-06-01,"Robbery, Extortion and Related Offences",Waitemata,27,23
2019-06-01,"Robbery, Extortion and Related Offences",Wellington,15,15
2019-06-01,Sexual Assault and Related Offences,Auckland City,24,22
2019-06-01,Sexual Assault and Related Offences,Bay Of Plenty,46,42
2019-06-01,Sexual Assault and Related Offences,Canterbury,66,53
2019-06-01,Sexual Assault and Related Offences,Central,56,56
2019-06-01,Sexual Assault and Related Offences,Counties/Manukau,58,56
2019-06-01,Sexual Assault and Related Offences,Eastern,34,34
2019-06-01,Sexual Assault and Related Offences,Northland,22,17
2019-06-01,Sexual Assault and Related Offences,Southern,29,24
2019-06-01,Sexual Assault and Related Offences,Tasman,18,18
2019-06-01,Sexual Assault and Related Offences,Waikato,52,48
2019-06-01,Sexual Assault and Related Offences,Waitemata,35,34
2019-06-01,Sexual Assault and Related Offences,Wellington,42,40
2019-06-01,Theft and Related Offences,Auckland City,1588,713
2019-06-01,Theft and Related Offences,Bay Of Plenty,1068,660
2019-06-01,Theft and Related Offences,Canterbury,1422,579
2019-06-01,Theft and Related Offences,Central,873,499
